State,Total Population,Total population_Male,Total population_Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,RACE_Total population,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Asian Chinese,Asian Filipino,Asian Japanese,Asian Korean,Asian Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population!!White,Total population_Black or African American,Total population_American Indian and Alaska Native,Total population_Asian,Total population_Native Hawaiian and Other Pacific Islander,Total population_Some other race,Total population_HISPANIC OR LATINO,Total population_Not Hispanic or Latino
Kansas,2911510,1449745,1461765,186990,190475,208695,204915,209009,376422,359447,339683,189925,183758,264050,134355,63786,2911510,2446823,171141,26829,82444,20564,11675,4505,1746,5136,17089,21729,2929,73293,2544721,218001,64801,107317,8989,83074,2911510,2563067
Minnesota,5611179,2793980,2817199,354932,360713,370367,356388,359550,759541,714967,689680,401080,355327,510486,262775,115373,5611179,4629375,367653,60983,273126,43596,33553,13188,5126,16431,25404,135828,2396,102814,4787851,445288,112850,328249,7964,118258,5611179,5303166
Mississippi,2986530,1446829,1539701,177761,191591,216172,219044,204679,379027,380696,359664,190823,192650,284356,143707,46360,2986530,1735455,1135599,13234,26142,5906,4659,3930,585,978,6038,4046,1372,29778,1776445,1161529,20404,38212,4583,33358,2986530,2899404
Montana,1062305,534782,527523,61688,61732,67916,67386,67822,133976,128663,121090,72061,79732,121055,58431,20753,1062305,941438,5056,68013,8517,822,1501,2771,693,998,831,901,990,5828,972128,9491,87853,15317,2773,8847,1062305,1020700
Virginia,8517685,4190738,4326947,502102,514779,534414,564667,579716,1170188,1114566,1115695,574308,529025,779502,390537,148186,8517685,5737580,1631512,22265,555422,153601,78031,80656,10850,73411,68558,90315,5659,215743,6043577,1807434,90683,688297,19169,253957,8517685,7704875
Arizona,7171646,3565129,3606517,434032,441613,488738,477306,489653,979328,882618,852462,430467,436326,727956,398408,132739,7171646,5590505,336340,330599,237873,58926,46853,44169,11983,15633,27751,32558,15661,373688,5838911,432062,424955,322251,32684,429942,7171646,4905304
Connecticut,3572665,1740533,1832132,181224,191879,224026,242294,239846,447891,424573,494642,260520,252623,343060,182391,87696,3572665,2688136,391552,9507,165855,70961,37189,9547,3917,9129,8792,26320,1017,195208,2787851,461513,35881,195312,6283,220518,3572665,2982855
New York,19542209,9491313,10050896,1139842,1078979,1154737,1202251,1294057,2872898,2433825,2557338,1327824,1268393,1811595,967841,432629,19542209,12375601,3069259,84312,1666113,379439,705047,111456,38853,123507,29751,278060,9424,1689845,12879039,3396032,207373,1879261,30852,1854260,19542209,15789686
North Dakota,760077,391222,368855,52175,50804,47274,46455,62590,116734,90872,81517,49436,45787,64047,33947,18439,760077,651687,25896,41270,13749,3189,791,2763,314,1233,778,4681,339,9569,668212,29988,50434,18212,1168,11370,760077,732633
Texas,28701845,14250184,14451661,2010781,1984419,2171522,2069341,1988685,4181960,3910623,3550999,1694490,1539426,2174294,1042370,382935,28701845,21099066,3527027,149997,1430857,452598,233097,146320,24311,80649,267996,225886,21463,1709445,21759347,3827321,351369,1648133,61344,1878367,28701845,17333001
United States,327167439,161118151,166049288,19646315,19805900,21392922,21445493,21717962,45344674,41498453,41605244,21624541,20662821,30571313,15547953,6303848,327167439,236173020,41617764,2801587,18415198,4161088,4395912,2920160,782776,1468279,1862395,2824588,626054,16253785,245860228,46261485,5710410,22137269,1468239,18146776,327167439,267403808
